table_name,nz_database,dl_database,pii
LEGACY_SRC_SERVICES_RESERVATION,EDW_PRD,dev_cust_sensitive,YES
LEGACY_SRC_SERVICES_RESERVATION_PRE,EDW_PRD,dev_cust_sensitive,YES
CUSTOMER_LOYALTY,EDW_PRD,dev_legacy,NO
CUSTOMER_XREF,EDW_PRD,dev_legacy,NO
TP_HISTORY,EDW_PRD,dev_legacy,NO
LEGACY_TP_INVOICE_SERVICE_RPT,EDW_PRD,dev_cust_sensitive,YES
SITE_PROFILE,EDW_PRD,dev_legacy,NO
SKU_PROFILE_RPT,EDW_PRD,dev_legacy,NO
CUSTOMER_LOYALTY,EDW_PRD,dev_legacy,NO
REFINE_TP_CUSTOMER,EDW_PRD,dev_cust_sensitive,YES