sf_table_name,filenames
Account,s_m_sds_account_pre.log.0.bin
AccountHistory,s_m_sds_account_history_pre.log.0.bin
Asset,s_m_sds_asset_pre.log.1.bin
AssetHistory,s_m_sds_asset_history_pre.log.1.bin
AssignedResource,s_sds_assigned_resource_pre.log.0.bin
FSL__User_Territory__c,s_m_sds_fsl_user_territory_c_pre.log.0.bin
OperatingHours,s_m_sds_operating_hours_pre.log.0.bin
Order,s_m_sds_order_pre.log.0.bin
OrderHistory,s_m_sds_order_history_pre.log.0.bin
OrderItem,s_m_sds_order_item_pre.log.0.bin
OrderItemHistory,s_m_sds_order_item_history_pre.log.0.bin
Outgoing_Message__c,s_m_sds_outgoing_message_c_pre.log.0.bin
PicklistValueInfo,s_m_sds_picklist_value_info_pre.log.0.bin
Pricebook2,s_m_sds_Pricebook2_PRE.log.2.bin
Pricebook2History,s_m_sds_pricebook2_history_pre.log.0.bin
PricebookEntry,s_m_sds_Pricebook2_Entry_PRE.log.0.bin
Product2,s_m_sds_product2_pre.log.0.bin
Product2History,s_m_sds_product2_history_pre.log.0.bin
Profile,s_sds_profile_pre.log.0.bin
PSVC_Bundle__c,s_sds_psvc_bundle_c_pre.log.1.bin
PSVC_Bundle_Addon__c,s_sds_psvc_bundle_add_on_c_pre.log.0.bin
PSVC_Bundle_Configuration__c,s_sds_psvc_bundle_configuration_c_pre.log.0.bin
PSVC_Class_Session__c,s_sds_psvc_class_session_c_pre.log.0.bin
PSVC_Customer_Pet__c,s_m_sds_PSVC_Customer_Pet_c_PRE.log.0.bin
PSVC_Daily_Activity__c,s_sds_psvc_daily_activity_c_pre.log.0.bin
PSVC_Employee_Group__c,s_m_sds_PSVC_Employee_Group_c_PRE.log.1.bin
PSVC_Employee_Group_Service_Types__c,s_m_sds_PSVC_Employee_Group_Service_Types_c_PRE.log.1.bin
PSVC_Exception_Hours__c,s_m_sds_exception_hours_pre.log.0.bin
PSVC_Invoice__c,s_sds_psvc_invoice_c_pre.log.1.bin
PSVC_Invoice__History,s_m_sds_PSVC_Invoice_History_pre.log.0.bin
PSVC_Note__c,s_m_sds_psvc_note_c_pre.log.0.bin
PSVC_Note__History,s_m_sds_PSVC_Note__History_pre.log.0.bin
PSVC_Order_Product_Special__c,s_sds_psvc_order_product_special_c_pre.log.0.bin
PSVC_Order_Product_Special__History,s_m_sds_PSVC_Order_Product_Special__history_Pre.log.1.bin
PSVC_Package_Product__c,s_sds_psvc_package_product_c_pre.log.0.bin
PSVC_Pet_Vaccination__c,s_sds_psvc_pet_vaccination_c_pre.log.0.bin
PSVC_Product_Bundle_Configuration__c,s_sds_psvc_product_bundle_configuration_c_pre.log.0.bin
PSVC_Product_Special__c,s_sds_psvc_product_special_c_pre.log.0.bin
PSVC_Redemption__c,s_sds_psvc_redemption_c_pre.log.0.bin
PSVC_Schedule_Template__c,
PSVC_Service_Contract__c,s_sds_psvc_service_contract_c_pre.log.0.bin
PSVC_Service_Contract_Component__c,s_sds_service_contract_component_pre.log.0.bin
PSVC_Service_Location_Special__c,s_sds_psvc_service_location_special_c_pre.log.0.bin
PSVC_Service_Text__c,s_sds_psvc_service_text_c_pre.log.0.bin
PSVC_Service_Type_Group__c,s_sds_psvc_service_type_group_c_pre.log.0.bin
PSVC_Service_Type_Group_Special__c,s_sds_psvc_service_type_group_special_c_pre.log.1.bin
PSVC_Service_Type_Product__c,m_sds_psvc_service_type_product_c_pre.log.0.bin
PSVC_Special__c,s_psvc_special_c_pre.log.0.bin
PSVC_Special__History,s_m_sds_PSVC_Special__History_PRE.log.0.bin
RecordType,s_sds_record_type_pre.log.0.bin
ResourceAbsence,s_m_sds_resource_absence_pre.log.0.bin
ResourceAbsenceHistory,s_m_sds_Resource_Absence_History_PRE.log.0.bin
ResourcePreference,s_sds_resource_preference_pre.log.1.bin
ResourcePreferenceHistory,s_m_sds_Resource_Preference_History_PRE.log.0.bin
ServiceAppointment,s_sds_service_appointment_pre.log.2.bin
ServiceAppointmentHistory,s_m_sds_service_appointment_history_pre.log.0.bin
ServiceResource,s_sds_service_resource_pre.log.0.bin
ServiceResourceHistory,s_m_sds_Service_Resource_History_PRE.log.0.bin
ServiceResourceSkill,s_sds_service_resource_skill_pre.log.0.bin
ServiceResourceSkillHistory,s_m_sds_Service_Resource_Skill_History_PRE.log.0.bin
ServiceTerritory,s_m_sds_service_territory_pre.log.0.bin
ServiceTerritoryHistory,s_m_sds_Service_Territory_History_PRE.log.0.bin
ServiceTerritoryMember,s_m_sds_service_territory_member_pre.log.0.bin
ServiceTerritoryMemberHistory,s_m_sds_Service_Territory_Member_History_PRE.log.0.bin
Skill,m_sds_skill_pre.log.0.bin
SkillRequirement,s_m_sds_skill_requirement_pre.log.0.bin
SkillRequirementHistory,s_m_sds_Skill_Requirement_History_PRE.log.0.bin
TimeSlot,s_m_sds_timeslot_pre.log.0.bin
User,s_m_sds_user_pre.log.0.bin
WorkOrder,s_m_sds_work_order_pre.log.2.bin
WorkOrderHistory,s_m_sds_Work_Order_History_PRE.log.0.bin
WorkOrderLineItem,s_m_sds_work_order_line_item_pre.log.0.bin
WorkOrderLineItemHistory,s_m_sds_Work_Order_Line_Item_History_PRE.log.0.bin
WorkType,s_m_sds_work_type_pre.log.1.bin
WorkTypeHistory,s_m_sds_Work_Type_History_PRE.log.0.bin